iter	Passed	Remaining
1449	23930	58588
1450	23951	58583
1451	23969	58570
1452	23991	58567
1453	24012	58561
1454	24028	58543
1455	24043	58524
1456	24061	58509
1457	24076	58490
1458	24092	58473
1459	24109	58457
1460	24125	58439
1461	24141	58421
1462	24157	58404
1463	24173	58387
1464	24189	58369
1465	24206	58352
1466	24222	58336
1467	24238	58318
1468	24254	58300
1469	24270	58282
1470	24287	58265
1471	24303	58249
1472	24319	58230
1473	24335	58212
1474	24351	58196
1475	24367	58177
1476	24383	58161
1477	24401	58146
1478	24417	58129
1479	24433	58111
1480	24449	58095
1481	24466	58078
1482	24482	58060
1483	24498	58042
1484	24514	58024
1485	24530	58008
1486	24546	57990
1487	24562	57973
1488	24579	57958
1489	24596	57940
1490	24617	57935
1491	24639	57932
1492	24656	57916
1493	24673	57900
1494	24689	57884
1495	24706	57868
1496	24722	57850
1497	24737	57831
1498	24754	57816
1499	24772	57801
1500	24789	57786
1501	24806	57772
1502	24823	57757
1503	24840	57740
1504	24855	57720
1505	24870	57700
1506	24885	57679
1507	24899	57658
1508	24913	57636
1509	24928	57616
1510	24948	57606
1511	24969	57602
1512	24985	57584
1513	25001	57566
1514	25018	57550
1515	25035	57535
1516	25052	57520
1517	25068	57502
1518	25084	57484
1519	25100	57467
1520	25118	57452
1521	25134	57435
1522	25150	57418
1523	25166	57401
1524	25182	57383
1525	25199	57367
1526	25215	57350
1527	25231	57333
1528	25248	57317
1529	25264	57298
1530	25280	57282
1531	25297	57265
1532	25312	57246
1533	25329	57230
1534	25346	57214
1535	25362	57197
1536	25378	57179
1537	25394	57163
1538	25410	57144
1539	25427	57129
1540	25443	57112
1541	25459	57094
1542	25475	57076
1543	25491	57057
1544	25507	57041
1545	25522	57021
1546	25538	57003
1547	25555	56987
1548	25571	56970
1549	25587	56952
1550	25606	56942
1551	25629	56939
1552	25647	56927
1553	25664	56910
1554	25680	56892
1555	25696	56875
1556	25712	56858
1557	25728	56841
1558	25744	56822
1559	25760	56805
1560	25776	56787
1561	25793	56771
1562	25808	56752
1563	25824	56735
1564	25840	56717
1565	25857	56701
1566	25872	56682
1567	25888	56664
1568	25904	56646
1569	25921	56631
1570	25937	56613
1571	25958	56606
1572	25977	56595
1573	25994	56580
1574	26010	56562
1575	26026	56544
1576	26042	56526
1577	26058	56509
1578	26074	56492
1579	26091	56476
1580	26106	56457
1581	26123	56440
1582	26139	56424
1583	26155	56406
1584	26171	56388
1585	26188	56371
1586	26204	56354
1587	26219	56336
1588	26236	56319
1589	26251	56301
1590	26267	56283
1591	26284	56266
1592	26300	56249
1593	26316	56231
1594	26332	56215
1595	26348	56197
1596	26365	56180
1597	26381	56163
1598	26397	56145
1599	26414	56130
1600	26430	56113
1601	26446	56095
1602	26462	56078
1603	26479	56062
1604	26495	56045
1605	26512	56028
1606	26527	56009
1607	26542	55990
1608	26559	55974
1609	26575	55957
1610	26592	55941
1611	26609	55925
1612	26626	55909
1613	26645	55899
1614	26667	55894
1615	26686	55882
1616	26702	55866
1617	26719	55849
1618	26734	55831
1619	26751	55815
1620	26767	55796
1621	26783	55779
1622	26800	55763
1623	26816	55746
1624	26832	55729
1625	26849	55713
1626	26869	55705
1627	26885	55687
1628	26901	55668
1629	26923	55663
1630	26938	55645
1631	26958	55634
1632	26979	55626
1633	26995	55609
1634	27011	55591
1635	27027	55574
1636	27042	55555
1637	27058	55537
1638	27074	55520
1639	27090	55503
1640	27107	55486
1641	27123	55469
1642	27139	55451
1643	27155	55433
1644	27171	55416
1645	27187	55398
1646	27203	55380
1647	27219	55363
1648	27236	55347
1649	27252	55331
1650	27269	55315
1651	27285	55298
1652	27301	55280
1653	27317	55262
1654	27332	55244
1655	27348	55226
1656	27364	55208
1657	27380	55190
1658	27396	55172
1659	27411	55153
1660	27427	55136
1661	27443	55118
1662	27459	55101
1663	27476	55085
1664	27492	55067
1665	27508	55050
1666	27525	55034
1667	27542	55017
